Ref,Val,Model,Mouser
C1,.1uF,FA26NP01H104JNU06,https://www.mouser.com/ProductDetail/TDK/FA26NP01H104JNU06?qs=UrFqKgNWc7RkUDHb07EBLQ%3D%3D
D1,Blue LED,OVLLB8C7,https://www.mouser.com/ProductDetail/Optek-TT-Electronics/OVLLB8C7?qs=Dz6MBz%252BjnkGU%2F0vuidjXSQ%3D%3D
J1,18650 Battery Holder,1048P,https://www.mouser.com/ProductDetail/Keystone-Electronics/1048P?qs=9%252Bwcgl%2FJqd1h8Vx3IFpTxA%3D%3D
J2,Black Probe Jack,73099-0,https://www.mouser.com/ProductDetail/Pomona-Electronics/73099-0?qs=B6kkDfuK7%2FDgwxUVoyhL3Q%3D%3D
J3,Red Probe Jack,73099-2,https://www.mouser.com/ProductDetail/Pomona-Electronics/73099-2?qs=B6kkDfuK7%2FA6DpEPKtHqWw%3D%3D
J10,Switch,OS102011MS2QN1,https://www.mouser.com/ProductDetail/CK/OS102011MS2QN1?qs=WtljUlYws5RvQ1hEv876nQ%3D%3D
LS1,Buzzer,CST-931RP-A,https://www.mouser.com/ProductDetail/CUI-Devices/CST-931RP-A?qs=WyjlAZoYn53DKTeYch4Tww%3D%3D
R1,51R,CFR-25JR-52-51R,https://www.mouser.com/ProductDetail/YAGEO/CFR-25JR-52-51R?qs=acBVhj9v9XXTvO3QTSPhHA%3D%3D
R2,2.7K,CFR-25JB-52-2K7,https://www.mouser.com/ProductDetail/YAGEO/CFR-25JB-52-2K7?qs=oypCK0zG326FHKQcNhMifw%3D%3D
U1,Microcontroller,ATTINY85-20PU,https://www.mouser.com/ProductDetail/Microchip-Technology-Atmel/ATTINY85-20PU?qs=8jWQYweyg6NCiiaOb5GI9Q%3D%3D
